DateTime,ALC,ALV,CDT,Control Point,DP,ECDW,ECW,Hrs,LCDW,LCW,PLC,Power,SP,Serialnumber,VFD_speed,DateTime
2021-10-04 22:45:00+00:00,382.6,443.4,40.55555555555556,13.88888888888889,726.0179121,22.055555555555557,17.944444444444443,67505.8,27.61111111111111,13.833333333333332,86.2,293.0,312.33249209999997,4710Q20221,0.0,2021-10-04 22:45:00
2021-10-04 23:00:00+00:00,382.3,443.0,40.55555555555556,13.88888888888889,720.5021065000001,22.055555555555557,17.944444444444443,67505.8,27.61111111111111,13.833333333333332,85.9,290.8,319.2272491,4710Q20221,0.0,2021-10-04 23:00:00
2021-10-04 23:15:00+00:00,419.9,441.2,41.11111111111111,13.88888888888889,750.8390373000001,22.944444444444443,17.944444444444443,67505.8,28.61111111111111,13.88888888888889,94.8,315.9,319.2272491,4710Q20221,0.0,2021-10-04 23:15:00
2021-10-04 23:30:00+00:00,422.2,442.9,41.166666666666664,13.61111111111111,755.6653672,23.055555555555554,17.944444444444443,67507.0,28.72222222222222,13.88888888888889,95.3,319.3,317.84829770000005,4710Q20221,0.0,2021-10-04 23:30:00
2021-10-04 23:45:00+00:00,423.1,442.6,41.166666666666664,13.61111111111111,757.0443186,23.111111111111107,17.944444444444443,67507.0,28.72222222222222,13.777777777777775,95.5,320.6,317.84829770000005,4710Q20221,0.0,2021-10-04 23:45:00
2021-10-05 00:30:00+00:00,424.1,441.6,41.22222222222222,13.61111111111111,756.3548429,23.111111111111107,17.88888888888889,67507.0,28.777777777777775,13.722222222222223,95.7,319.5,315.7798706,4710Q20221,0.0,2021-10-05 00:30:00
2021-10-05 00:45:00+00:00,424.9,441.9,41.22222222222222,13.61111111111111,757.7337943000001,23.166666666666668,17.88888888888889,67507.0,28.833333333333336,13.777777777777775,95.9,321.0,317.158822,4710Q20221,0.0,2021-10-05 00:45:00
2021-10-05 01:00:00+00:00,424.6,441.9,41.166666666666664,13.61111111111111,754.2864158000001,23.000000000000004,17.88888888888889,67507.0,28.666666666666664,13.777777777777775,95.9,320.3,317.158822,4710Q20221,0.0,2021-10-05 01:00:00
2021-10-05 01:15:00+00:00,423.5,442.8,41.22222222222222,13.61111111111111,757.7337943000001,23.111111111111107,17.88888888888889,67507.0,28.777777777777775,13.777777777777775,95.6,320.8,317.158822,4710Q20221,0.0,2021-10-05 01:15:00
2021-10-05 01:30:00+00:00,423.3,443.5,41.22222222222222,13.61111111111111,758.42327,23.166666666666668,17.88888888888889,67507.0,28.833333333333336,13.777777777777775,95.5,321.3,317.84829770000005,4710Q20221,0.0,2021-10-05 01:30:00
2021-10-05 01:45:00+00:00,422.3,443.5,41.166666666666664,13.61111111111111,757.0443186,23.111111111111107,17.88888888888889,67507.0,28.833333333333336,13.777777777777775,95.3,320.6,317.158822,4710Q20221,0.0,2021-10-05 01:45:00
2021-10-05 02:15:00+00:00,424.2,444.7,41.22222222222222,13.61111111111111,758.42327,23.111111111111107,17.88888888888889,67507.0,28.833333333333336,13.722222222222223,95.8,322.5,316.4693463,4710Q20221,0.0,2021-10-05 02:15:00
2021-10-05 02:30:00+00:00,422.0,445.9,41.166666666666664,13.61111111111111,757.7337943000001,23.166666666666668,17.83333333333333,67507.0,28.833333333333336,13.722222222222223,95.3,321.8,315.7798706,4710Q20221,0.0,2021-10-05 02:30:00
2021-10-05 02:45:00+00:00,423.9,445.1,41.166666666666664,13.61111111111111,757.0443186,23.055555555555554,17.83333333333333,67507.0,28.72222222222222,13.722222222222223,95.7,322.7,314.40091920000003,4710Q20221,0.0,2021-10-05 02:45:00
2021-10-05 03:00:00+00:00,421.5,441.6,41.05555555555556,13.61111111111111,754.2864158000001,23.055555555555554,17.83333333333333,67507.0,28.666666666666664,13.722222222222223,95.1,318.5,314.40091920000003,4710Q20221,0.0,2021-10-05 03:00:00
2021-10-05 03:15:00+00:00,422.9,441.9,41.05555555555556,13.61111111111111,754.9758915,23.111111111111107,17.83333333333333,67507.0,28.72222222222222,13.722222222222223,95.5,319.0,314.40091920000003,4710Q20221,0.0,2021-10-05 03:15:00
2021-10-05 03:45:00+00:00,415.2,442.4,40.94444444444444,13.61111111111111,750.8390373000001,23.111111111111107,17.666666666666664,67507.0,28.61111111111111,13.666666666666668,93.7,314.7,315.7798706,4710Q20221,0.0,2021-10-05 03:45:00
2021-10-05 04:00:00+00:00,412.4,442.9,41.0,13.61111111111111,752.2179887,23.111111111111107,17.666666666666664,67507.0,28.666666666666664,13.666666666666668,93.1,313.2,316.4693463,4710Q20221,0.0,2021-10-05 04:00:00
2021-10-05 04:15:00+00:00,420.1,443.7,41.05555555555556,13.61111111111111,754.2864158000001,23.111111111111107,17.666666666666664,67507.0,28.72222222222222,13.666666666666668,94.8,318.5,315.7798706,4710Q20221,0.0,2021-10-05 04:15:00
2021-10-05 04:30:00+00:00,419.6,443.0,41.11111111111111,13.61111111111111,755.6653672,23.166666666666668,17.666666666666664,67507.0,28.777777777777775,13.666666666666668,95.0,318.1,315.7798706,4710Q20221,0.0,2021-10-05 04:30:00
2021-10-05 04:45:00+00:00,422.8,442.5,41.11111111111111,13.61111111111111,756.3548429,23.111111111111107,17.666666666666664,67507.0,28.777777777777775,13.61111111111111,95.4,319.9,314.40091920000003,4710Q20221,0.0,2021-10-05 04:45:00
2021-10-05 05:15:00+00:00,416.9,445.2,41.11111111111111,13.61111111111111,755.6653672,23.166666666666668,17.77777777777778,67512.1,28.72222222222222,13.61111111111111,94.1,318.0,315.09039490000004,4710Q20221,0.0,2021-10-05 05:15:00
