,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
77,,,,,2,Device,,,10/30/2023 9:05:40 AM -07:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
78,2023-10-30T16:20:00,,,0.0,2,Device,,System Alert Alarm,Oct 30 2023  4:20PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
79,2023-10-30T16:20:00,,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Oct 30 2023  4:20PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
80,2023-11-01T22:23:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/11/1/22/23/VU207150371310_2_1698877425,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Nov  1 2023 10:23PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
81,,,,,2,Device,,,11/1/2023 3:28:03 PM -07:00,False,True,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
82,2023-11-01T22:43:00,,,0.0,2,Device,,System Alert Alarm,Nov  1 2023 10:43PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
83,2023-11-01T22:43:00,,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Nov  1 2023 10:43PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
84,2023-11-11T08:36:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/11/11/8/36/VU207150371310_2_1699691779,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Nov 11 2023  8:36AM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
85,,,,,3,Device,,,11/11/2023 1:40:01 AM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
86,,,,,1,Device,,,11/11/2023 1:50:01 AM -07:00,True,False,False,0.0,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
87,2023-11-11T12:35:00,,,0.0,1,Device,,Alarm Relay,Nov 11 2023 12:35PM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
88,2023-11-11T12:35:00,,,0.0,3,Device,,System Alert Alarm,Nov 11 2023 12:35PM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
89,2023-11-11T12:35:00,,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Nov 11 2023 12:35PM,True,False,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
90,2023-12-14T16:19:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/12/14/16/19/VU207150371310_2_1702570780,,0.0,122,Device,,RUN CAPACITY LIMITED-LOW EVAP REFRIG TEMP,Dec 14 2023  4:19PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
